agglosID,x,y,CentreLon,CentreLat,agglosName,ISO3
7485,26.895,-25.859,26.8888378460156,-25.8509743419139,Reagile,ZAF
7489,8.169,34.389,8.15190902050783,34.379230749414,Redeief,TUN
7490,6.12,36.427,6.1190304240625,36.4267675116017,Redjas,DZA
7491,28.077,-26.894,28.0710493789844,-26.8965675417968,Refengkgotso,ZAF
7492,28.529,-25.637,28.5282552189453,-25.6395118736719,Refilwe,ZAF
7494,9.79,34.856,9.78656802050778,34.858874669922,Regueb,TUN
7496,17.081,-23.311,17.0828563236718,-23.3176549157813,Rehoboth,"NAM"
7498,0.551,35.732,0.557120520390628,35.7420499142968,Relizane,DZA
7499,-1.429,35.054,-1.43499034226562,35.0611231657424,Remchi,DZA
7501,-2.457,12.312,-2.46841279664062,12.3183509603516,Reo,BFA
7502,41.222,3.929,41.2213419711719,3.93199987761719,Rhamu,KEN
7503,26.548,-33.297,26.5278420899219,-33.3109625791797,Rhini,ZAF
7504,33.858,-11.015,33.8538649423829,-11.023382410625,Rhumpi,MWI
7505,5.484,11.395,5.4856921454297,11.3962171925,Ribah,NGA
7508,-15.669,16.461,-15.6790625799609,16.4666852866015,Richard-Toll,SEN
7509,30.79,28.014,30.7902585526563,28.0115792214844,Rida,EGY
7510,27.752,-26.188,27.7593786046483,-26.1810522019142,Rietvallei Ext 2,ZAF
7512,32.121,26.092,32.119398696367,26.0840879194531,Rifaa,EGY
7514,5.263,11.106,5.25990346589842,11.1076484548438,Rijau,NGA
7515,5.276,11.173,5.27569751953125,11.1755217800391,Rijau (North),NGA
7516,37.211,11.31,37.2094367137109,11.3093819942578,Rim,ETH
7517,7.709,12.849,7.70881772785158,12.8486637840235,Rimi,NGA
7518,7.887,8.911,7.88470834632814,8.89695366785156,Rimi/Tudun Wada,NGA
7519,9.16,12.152,9.16396289410159,12.1513213807031,Ringim,NGA
7520,9.125,10.071,9.12682760839846,10.0678941952734,Rinjim Gaini,NGA
7521,21.261,-34.093,21.2596739916015,-34.0916113103125,Riversdale,ZAF
7522,57.556,-20.481,57.557653058867,-20.4939095894531,Riviere des Anguilles,MUS
7523,57.693,-20.115,57.6892881148047,-20.1052477235548,Riviere du Rempart,MUS
7524,8.721,9.609,8.72922509296878,9.61673955457026,Riyom,NGA
7525,28.331,-13.103,28.3258981493361,-13.10193677875,Roan,ZMB
7526,37.77,10.551,37.7670431907424,10.5454203188672,Rob Gebeya,ETH
7527,34.881,8.691,34.8806782401564,8.68680642382815,Rob Gebeya,ETH
7529,40.01,7.119,40.0030217295704,7.12255779699221,Robe,ETH
7530,39.625,7.856,39.6287680809764,7.8644589060156,Robe,ETH
7531,19.886,-33.804,19.881802994336,-33.8041369748826,Robertson,ZAF
7532,39.627,12.01,39.6256979521486,12.0113036695703,Robit,ETH
7533,39.576,11.457,39.5843153704685,11.4714835513672,Robit,ETH
7535,7.823,11.553,7.82251560710938,11.5534816611328,Rogo,NGA
