agglosID,Agglomeration_Name,ISO3,x,y,Population_2015,ESA_LC_Open_green,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020
607,al-Fashn,EGY,30.903,28.831,103310,0.032809124,46.30689,45.76759,50.41644,47.61154,45.39555,48.97634,46.79562,41.78713,45.08426,45.94889,45.28208,49.28138,51.25675,45.76912,48.80363,51.2305,48.46376,51.45093,51.88717,51.10909,50.78675,51.33516,43.32586
608,al-Fayyum,EGY,30.842,29.32,646968,0.066726684,45.46307,45.00581,50.80542,48.62296,44.93736,49.17739,47.33088,41.96032,46.91008,46.08052,45.49304,49.75164,51.66765,46.56881,49.24549,51.55941,49.34836,51.42653,51.46819,50.88503,51.25093,52.17909,44.1838
609,al-Fikriyya,EGY,30.819,27.924,130875,0.038854605,47.2613,46.06903,51.18699,48.04507,47.48123,49.33467,47.0741,43.14812,45.22704,47.60325,46.79663,51.16994,54.93808,49.13896,51.56288,54.12255,49.89528,54.25739,54.91539,54.24448,52.45268,54.25671,47.07277
618,al-Gadiyya,EGY,30.417,31.363,18385,0.221975184,28.65732,26.99852,29.8035,26.034300000000002,26.31881,28.54573,26.79799,25.01278,29.21299,25.76858,27.33857,28.41208,30.99091,25.05877,27.7002,27.74113,27.00325,26.86809,25.20329,25.20974,26.07876,25.97407,22.50825
625,al-Garnus,EGY,30.718,28.593,25682,0.009422438,46.57524,44.82476,50.94387,46.79856,45.4836,48.11496,46.43408,42.02429,45.45296,46.3586,45.42429,49.63902,52.28018,46.3606,49.02429,51.92844,48.99906,53.11426,53.31355,53.23878,52.03878,53.22923,45.37357
630,al-Gazira al-Khadra,EGY,30.419,31.441,42595,0.187065078,26.91129,25.71133,28.5775,25.37961,25.27621,27.5472,27.34073,24.71449,28.60802,24.4615,26.35485,26.3587,29.30457,23.69234,25.30793,25.08835,25.06727,24.64934,23.03118,23.86101,24.34495,24.36151,20.73257
631,Alger,DZA,3.036,36.681,3886202.077,0.245210957,13.56937,14.84487,14.41517,14.17673,13.67091,14.5375,13.60375,14.14127,15.03112,16.0245,14.9251,14.03389,13.43968,13.30822,14.67665,12.30661,12.76528,14.80474,13.54432,13.50512,13.21455,13.33083,13.95001
632,al-Geteina,SDN,32.369,14.865,32337,0.026586611,43.01997,40.196,40.47087,40.49573,43.50245,44.71489,46.76159,46.48174,44.56605,44.69207,41.98202,45.46482,43.70826,47.5097,44.25386,46.10294,36.85159,41.54455,40.86338,42.64214,40.15461,38.74379,36.7261
633,al-Gezira Aba,SDN,32.615,13.306,26072,0.235795714,42.54284,37.97547,39.96451,38.23417,41.86608,46.02566,46.34604,45.62527,43.18536,46.27947,41.46265,46.95442,44.00578,49.15562,44.34783,46.85511,37.60044,44.18672,42.51449,43.98745,40.36394,41.15418,40.2389
638,al-Gharaq al-Sultani,EGY,30.692,29.137,60409,0.003775355,49.4104,47.93308,53.85753,51.14648,47.91135,52.80037,50.97952,45.92942,50.80102,50.01284,49.33059,54.01593,55.896,50.0617,52.37243,55.38722,51.97263,54.38184,53.83353,53.91096,53.39315,54.4962,45.4818
